,data_properties.twitter_followers,data_properties.facebook_followers,data_properties.instagram_followers,data_properties.ppp_country
450,520483,1816245,3156009,36305
451,605020,99528,513446,36305
452,1030215,1993626,9032591,36305
453,263159,0,52,36305
454,366431,482412,953093,36305
455,42691,4741,105391,36305
456,14994,0,56181,36305
457,6602,3148655,0,36305
458,0,0,232777,36305
459,2123183,3874211,1759941,36305
460,1554724,2904908,1358895,41470
461,1240370,121102,1149247,41470
462,738674,1729,394711,41470
463,507078,14242,240019,41470
464,459874,134066,417108,41470
465,270103,3203,67349,41470
466,238443,10920,157023,41470
467,263567,18046,233,41470
468,28895,6755,99765,41470
469,1634,0,76275,41470
470,0,0,35119,41470
471,0,0,54930,41470
472,291,4800,264801,41470
473,0,0,780,41470
474,0,0,163904,41470
475,0,0,0,41470
476,0,1186,39847,41470
477,0,0,0,41470
478,0,0,264655,41470
479,0,0,0,41470
480,0,0,0,41470
481,0,0,0,41470
482,0,0,0,41470
483,86,101191,0,41470
484,17304,1600332,214703,41470
485,260648,0,557044,13022
486,203018,288607,0,13022
487,207915,475406,673231,13022
488,221115,452490,1143324,13022
489,102412,2441189,251535,13022
490,105097,308717,569311,13022
491,79929,0,314035,13022
492,89300,338908,619474,13022
493,75635,24976,0,13022
494,65007,192380,586058,13022
495,26139,37893,174816,13022
496,24633,693745,486518,13022
497,18565,83598,337953,13022
498,9586,217969,466651,13022
499,15435,0,245495,13022
500,5034,0,3378,13022
501,0,24151,121130,13022
502,0,0,211440,13022
503,0,40398,0,13022
504,0,0,0,13022
505,0,0,1507,13022
506,0,3298,18216,13022
507,0,3746405,2686414,13022
508,967135,1851501,680677,13022
509,74265537,122660772,133188369,30624
510,3442016,11073731,7773730,30624
511,367056,3483845,3039515,30624
512,6754,927,599,42609
513,6521,3645,399,42609
514,6207,9516,0,42609
515,5960,755,214,42609
516,5732,4581,2873,57467
517,7048,3421,2235,57467
518,5369,0,0,57467
519,5326,9654,7283,57467
520,5183,208,1129,42609
521,4780,3948,836,42609
522,4481,1126,664,42609
523,4376,3075,656,42609
524,4335,2249,1547,42609
525,4316,4670,1621,42609
526,4275,888,307,42609
527,4230,2269,1980,42609
528,4168,978,349,42609
529,4156,1358,0,42609
530,3997,1821,482,42609
531,3950,2402,0,42609
532,3822,15639,7353,57467
533,3584,5967,895,42609
534,2636,2215,1119,57467
535,2598,2520,1214,42609
536,2342,2620,558,42609
537,2322,2786,1559,42609
538,2252,4000,0,42609
539,2162,3403,1053,42609
540,2100,3205,0,57467
541,1968,1930,0,42609
542,1684,0,11797,57467
543,1659,825,0,42609
544,1544,1570,597,42609
545,1489,1277,5492,42609
546,1458,2821,923,42609
547,1454,1746,0,42609
548,1322,676,0,42609
549,1266,823,254,42609
550,1246,0,2441,42609
551,853,674,0,42609
552,293,29,0,42609
553,172,0,57667,57467
554,549377,60448,176114,42609
555,36,943048,959,57467
556,0,192351,8617,57467
557,0,0,0,57467
558,0,0,1694,57467
559,0,0,105,57467
560,0,0,568,57467
561,0,3484,0,57467
562,0,0,0,57467
563,0,0,0,57467
564,0,0,0,57467
565,0,0,773,57467
566,0,0,454,57467
567,0,0,110,57467
568,0,0,3215,57467
569,0,0,55067,57467
570,0,0,0,57467
571,0,0,3201,57467
572,0,0,246412,57467
573,0,0,77876,57467
574,0,0,14454,57467
575,0,0,14022,57467
576,281576,1064325,734801,30624
577,202736,333206,1632570,30624
578,321979,206107,819368,30624
579,82766,104730,549476,30624
580,54448,174152,513320,30624
581,42147,329505,368636,30624
582,38798,80899,389299,30624
583,17667,78084,179950,30624
584,15891,452167,348631,30624
585,10645,24753,545470,30624
586,2200,226422,56719,30624
587,0,39407,0,30624
588,0,138723,0,30624
589,0,0,197189,30624
590,0,0,0,30624
591,0,38277,137316,30624
592,0,129605,377161,30624
593,0,0,111007,30624
594,0,0,102381,30624
595,357,80025,350241,30624
596,599213,4082106,2251144,30624
597,5405291,9027388,13802208,46383
598,2939195,3158567,1508493,46383
599,2065905,5370729,4573343,46383
600,2151939,4333054,2568218,46383
601,1418841,2289672,2223807,46383
602,1343954,2729722,158,46383
603,1456936,3208501,6147485,46383
604,1311506,1400131,937866,46383
605,1733187,850422,2097030,46383
606,866449,111931,698225,46383
607,736341,930079,1151960,46383
608,629083,1561025,2018133,46383
609,450432,738961,507756,46383
610,550740,270391,628232,46383
611,547430,0,322766,46383
612,266069,2624,404333,46383
613,269009,113905,505548,46383
614,265687,467642,257847,46383
615,106409,101032,824223,46383
616,64747,105382,171551,46383
617,34654,0,0,46383
618,0,0,0,46383
619,0,54,0,46383
620,0,0,0,46383
621,810499,1400518,472702,46383
622,710752,0,912620,16136
623,37096,0,467395,16136
624,3313,0,133762,16136
625,205,0,169,16136
626,0,0,0,16136
627,0,0,36223,16136
628,0,0,0,16136
629,0,0,0,16136
630,0,0,83238,16136
631,0,0,0,16136
632,0,0,0,16136
633,0,0,0,16136
634,0,0,24375,16136
635,0,0,72991,16136
636,0,0,12396,16136
637,0,0,0,16136
638,0,0,0,16136
639,0,3183,23025,16136
640,0,0,44496,57467
641,0,0,90183,57467
642,0,0,0,57467
643,0,0,32851,57467
644,0,4950,0,57467
645,0,0,22903,57467
646,0,0,42743,57467
647,0,0,10380,57467
648,0,0,25074,57467
649,0,0,27839,57467
650,0,0,30598,57467
651,0,0,21189,57467
652,0,0,11452,57467
653,0,0,56409,57467
654,0,0,57617,57467
655,0,0,43599,57467
656,0,0,32236,57467
657,0,625804,244347,57467
658,0,0,0,16136
659,0,0,79979,16136
660,0,0,0,16136
661,0,0,383167,16136
662,0,0,113587,16136
663,731409,169157,325520,16136
664,822686,486568,358240,46790
665,340630,0,115439,46790
666,93250,0,84365,46790
667,66610,719,1296,46790
668,51435,699,0,46790
669,49943,3949,26103,46790
670,19696,1879,27129,46790
671,22105,0,71268,46790
672,15431,0,33656,46790
673,13950,0,0,46790
674,11394,0,14256,46790
675,8951,0,0,46790
676,8167,0,24511,46790
677,7731,0,16989,46790
678,1516,189,83491,46790
679,2001,59,14789,46790
680,0,0,7279,46790
681,0,0,29837,46790
682,249,8071,37142,46790
683,0,0,0,46790
684,0,0,0,46790
685,0,0,0,46790
686,0,0,0,46790
687,0,3353,17314,46790
688,0,0,0,46790
689,317191,651605,161005,46790
690,774919,0,1247252,54431
691,271188,0,0,54431
692,240363,0,491100,54431
693,181277,0,0,54431
694,0,0,520,54431
695,0,0,0,54431
696,0,0,404109,54431
697,0,0,0,54431
698,0,0,0,54431
699,0,0,0,54431
700,0,0,1049221,54431
701,0,0,0,54431
702,0,0,0,54431
703,0,0,0,54431
704,0,0,0,54431
705,13,0,0,54431
706,91,0,797672,54431
707,0,0,0,54431
708,0,0,0,54431
709,0,0,0,54431
710,0,0,0,54431
711,0,0,433,54431
712,0,0,0,54431
713,448956,0,0,54431
714,14884679,18972175,28741873,21625
715,1705372,521881,1868407,21625
716,1663606,4847345,5015423,21625
717,534627,0,163822,21625
718,515534,1018506,1283840,21625
719,441306,304897,805950,21625
720,301837,0,161368,21625
721,162276,7718,340144,21625
722,93322,0,76994,21625
723,93914,0,0,21625
724,71877,0,842434,21625
725,30392,0,55651,21625
726,27537,21266,0,21625
727,0,0,0,21625
728,0,0,0,21625
729,0,0,0,21625
730,0,0,89196,21625
731,16,0,395700,21625
732,0,0,0,21625
733,0,0,0,21625
734,0,0,162732,21625
735,368972,1213641,347800,21625
736,1096552,1337965,513565,5867
737,603328,151984,981614,5867
738,201323,0,472362,5867
739,152169,0,741506,5867
740,121655,0,0,5867
741,79388,0,169646,5867
742,86078,0,0,5867
743,71056,0,66207,5867
744,60202,8837,78505,5867
745,45433,0,102225,5867
746,170686,0,0,5867
747,38128,0,0,5867
748,28765,0,0,5867
749,1981,0,0,5867
750,0,0,9293,5867
751,0,0,0,5867
752,0,0,0,5867
753,0,0,0,5867
754,0,0,0,5867
755,0,0,0,5867
756,0,0,0,5867
757,0,0,385156,5867
758,0,0,0,5867
759,306180,258799,125467,5867
760,1119877,9299929,13371345,27811
761,809837,2612477,1575853,27811
762,341381,843559,658995,27811
763,207392,1082370,836497,27811
764,186493,519355,417143,27811
765,144996,390285,340534,27811
766,141753,546300,392564,27811
767,65828,0,0,27811
768,51422,451975,117704,27811
769,23012,675,0,27811
770,16295,40153,60091,27811
771,11394,46063,137494,27811
772,9109,2383117,706800,27811
773,3822,1705101,739049,27811
774,0,12108,48149,27811
775,0,34967,8761,27811
776,0,7654,15613,27811
777,0,0,0,27811
778,0,366736,211341,27811
779,0,223632,378548,27811
780,310,8468,715,27811
781,0,0,0,27811
782,0,46961,82249,27811
783,255742,1089525,421657,27811
784,315216,32692,220332,23015
785,221913,0,121517,23015
786,85027,0,0,23015
787,71085,0,118080,23015
788,42757,0,102805,23015
789,23461,0,0,23015
790,4005,0,0,23015
791,4186,0,29683,23015
792,3032,0,0,23015
793,2679,0,0,23015
794,0,0,0,23015
795,0,0,193144,23015
796,0,0,0,23015
797,0,0,0,23015
798,0,0,25270,23015
799,0,0,242091,23015
800,1925,0,31395,23015
801,0,0,0,23015
802,0,0,93911,23015
803,0,0,0,23015
804,0,0,0,23015
805,229953,218183,159994,23015
806,90347,237214,263867,16136
807,63177,0,27143,16136
808,41017,0,0,16136
809,36250,0,45171,16136
810,6752,0,0,16136
811,4233,760426,1146850,16136
812,0,0,22023,16136
813,0,0,0,16136
814,0,0,5247,16136
815,0,0,0,16136
816,0,0,0,16136
817,0,0,607,16136
818,0,0,0,16136
819,0,0,0,16136
820,0,1629,0,16136
821,0,0,12896,16136
822,0,0,0,16136
823,12,540,0,16136
824,0,242,36973,16136
825,0,0,0,16136
826,0,0,0,16136
827,0,0,0,16136
828,0,0,0,16136
829,226032,144621,151412,16136
830,2314949,6349804,7199586,16614
831,803979,1489110,524208,16614
832,471187,245499,250746,16614
833,472405,1134738,0,16614
834,271160,72316,69050,16614
835,133840,207546,148270,16614
836,131769,270449,0,16614
837,108901,551094,135146,16614
838,108190,0,0,16614
839,72581,137584,106281,16614
840,58629,33376,41824,16614
841,26724,0,0,16614
842,20581,67184,0,16614
843,12544,70607,0,16614
844,6298,0,0,16614
845,5659,0,0,16614
846,4293,0,54122,16614
847,1,0,228065,16614
848,0,0,120335,16614
849,0,103816,0,16614
850,0,0,0,16614
851,0,0,0,16614
852,0,0,0,16614
853,0,0,0,16614
854,233326,704426,145883,16614
855,966692,32084,2491921,23596
856,480083,1029171,4132264,23596
857,402831,7905132,8856,23596
858,96779,24194,263806,23596
859,86412,198748,702350,23596
860,49537,0,117992,23596
861,32043,0,19007,23596
862,12011,0,2546,23596
863,8807,6410,188892,23596
864,4926,43291,468741,23596
865,5402,507406,1364090,23596
866,0,2136,69594,23596
867,0,6487,27062,23596
868,0,0,0,23596
869,0,2030,11865,23596
870,0,0,24374,23596
871,0,0,122839,23596
872,0,10818,66855,23596
873,458,0,0,23596
874,92,0,0,23596
875,0,642,0,23596
876,0,148848,891973,23596
877,49,0,190429,23596
878,153567,510340,210845,23596
879,6569017,10402628,18024019,11132
880,2306862,279614,810308,11132
881,1901985,166022,54346,11132
882,1572220,261852,1714657,11132
883,1969901,832705,739377,11132
884,1348714,865345,3304304,11132
885,1246063,376967,1466784,11132
886,1174004,560882,2183152,11132
887,1500381,583698,4344482,11132
