,data_properties.twitter_followers,data_properties.facebook_followers,data_properties.instagram_followers,data_properties.ppp_country
1122,7654190,29065925,5220225,42609
1123,3633204,6222099,4291319,16136
1124,6357266,19138501,1817493,16136
1125,4123656,18240116,3532199,57467
1126,3391277,8679285,1899302,57467
1127,5698743,20966525,2062215,6572
1128,3406098,6473549,1781155,57467
1129,3764141,2188541,2572166,57467
1130,2057257,3376309,1634796,57467
1131,3559718,4169587,1311072,42609
1132,6161868,34937536,6767835,42609
1133,4731116,15643270,2965286,57467
1134,2112618,10940449,1929250,48730
1135,5761162,11376869,8547276,57467
1136,7429770,21421634,4628869,57467
1137,3335565,8965449,6368226,57467
1138,2519895,3456175,1217172,57467
1139,2227181,5393181,1536035,57467
1140,2861756,10136456,2053585,42609
1141,2266049,1735467,1076710,57467
1142,2072053,4131888,1440295,57467
1143,3276952,9085109,2593246,57467
1144,3387506,3252674,1467509,57467
1145,360051,243488,19732,57467
1146,2660586,4344204,1177549,57467
1147,2959538,2549122,790808,41466
1148,3376180,7187980,2129036,57467
1149,2344225,2037633,801695,57467
1150,1554574,3088694,610692,42609
1151,1343740,1896896,571387,57467
1152,2374119,4006769,2119491,57467
1153,2630419,9880372,2422823,57467
1154,1593881,3430166,1266857,57467
1155,4959163,13462168,1910097,57467
1156,1466782,2382518,617120,57467
1157,1392612,1244670,716215,57467
1158,983533,2281334,769069,57467
1159,4353142,7044451,3049197,57467
1160,4381710,12544212,1078073,57467
1161,1195129,2414552,628624,57467
1162,404691,610303,176228,42609
1163,1241160,2146699,163914,42609
1164,2029032,5252646,1216743,57467
1165,1442802,2351917,476189,57467
1166,332252,525195,89521,42609
1167,12752,3557,1659,42609
1168,1430108,2285604,518750,42609
1169,1639859,3735107,2366214,42609
1170,1148851,6539357,1955467,42609
1171,3490758,402555,2037913,57467
1172,1237596,2211094,716692,57467
1173,3360993,210068,409655,57467
1174,2098741,5985818,1714671,57467
1175,1142497,2644009,211950,42609
1176,1716363,2290127,1366938,57467
1177,3042906,363379,1449356,57467
1178,1842749,1374162,726089,57467
1179,1318326,4006396,825097,57467
1180,1458042,2305101,766020,57467
1181,1810320,3057735,1077445,57467
1182,579970,769424,279634,57467
1183,2642669,7232673,3406371,57467
1184,1500644,4432661,769225,57467
1185,843972,1827254,619405,57467
1186,20112,2197633,999572,57467
1187,1151987,2434095,1017901,57467
1188,900041,1644487,999132,57467
1189,1597331,2784241,661478,57467
1190,2201058,8903089,1974349,42609
1191,1846236,1699052,402688,57467
1192,167206,1165819,249193,42609
1193,1518814,1654717,512272,57467
1194,789116,1276597,367516,57467
1195,1378657,3836869,1861930,57467
1196,1536715,1702336,1126298,57467
1197,998326,6087781,744589,57467
1198,581429,1658148,264592,42609
1199,869283,1539364,852580,57467
1200,1007168,1910087,735246,57467
1201,1816368,3940271,1608215,57467
1202,498979,4023608,495581,42609
